"","Mark","Athlete","Country","Date"
"1",7.61,"Peter O'Connor","IRE",1901
"2",7.69,"Edward Gourdin","USA",1921
"3",7.76,"Robert LeGendre","USA",1924
"4",7.89,"DeHart Hubbard","USA",1925
"5",7.9,"Edward Hamm","USA",1928
"6",7.93,"Sylvio Cator","HAI",1928
"7",7.98,"Chuhei Nambu","JPN",1931
"8",8.13,"Jesse Owens","USA",1935
"9",8.21,"Ralph Boston","USA",1960
"10",8.24,"Ralph Boston","USA",1961
"11",8.28,"Ralph Boston","USA",1961
"12",8.31,"Igor Ter-Ovanesyan","URS",1962
"13",8.31,"Ralph Boston","USA",1964
"14",8.34,"Ralph Boston","USA",1964
"15",8.35,"Ralph Boston","USA",1965
"16",8.35,"Igor Ter-Ovanesyan","URS",1967
"17",8.9,"Bob Beamon","USA",1968
"18",8.95,"Mike Powell","USA",1991
